,x,y,label
360,-2.3879914,7.100426,Unmodified
361,7.724196,2.3111565,Unmodified
362,7.403728,1.8206105,Unmodified
363,3.9158854,1.0042241,Unmodified
364,-2.209774,7.2509975,Unmodified
365,7.034681,3.6133883,Unmodified
366,5.209856,9.5659075,Unmodified
367,1.5117261,7.6825533,Unmodified
368,7.7350554,2.3315144,Unmodified
369,-1.2763658,7.8264384,Unmodified
370,10.087566,8.7991495,Unmodified
371,0.9598492,8.092092,Unmodified
372,8.283461,3.7373507,Unmodified
373,4.8709106,9.462659,Unmodified
374,5.252652,8.934002,Unmodified
375,7.4477706,1.9215853,Unmodified
376,4.8678575,8.030389,Unmodified
377,-2.3227937,7.1483264,Unmodified
378,4.823563,9.564115,Unmodified
379,9.852079,2.264245,Unmodified
380,-1.8368367,7.411079,Unmodified
381,4.3624296,0.7500015,Unmodified
